Armazem;Deposito;Produto;Descricao;Unidade;Saldo Anterior;Entradas;Saidas;Saldo Atual;Transito;Disponivel;Inventario;Diferenca;Diferenca Congelamento;Trans_Ant;Trans_Ant_nao_carregado;Trans_Dia_nao_carregado;Comodato OP03;Venda Vas OP85;Valorizacao;Sinal;Tipo           ;Fator          ;Custo Médio    ;Ult. Reposição ;Médio Reposição;Qtd Estoque    ;Qtd Contagem   ;Estoque CM     ;Estoque UR     ;Estoque MR     ;Contagem CM    ;Contagem UR    ;Contagem MR    ;Sub-Depósitos  ;Saldo Atual Real;Saldo Grade Real
1;1;30;GAS CARBONICO SKOL CILINDRO 7 KG             ;Kg  ;         28/00 ;         84/00;         77/00;         35/00 ;          0/00 ;         35/00 ;          0/00 ;         35/00-;          7/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;455;-;PA;1;13;13;13;35;            ;455;455;455;                   ;                   ;                   ;               ;         35/00 ;         35/00 
1;1;279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C;cx  ;          0/15 ;          0/15;          0/15;          0/15 ;          0/00 ;          0/15 ;          0/00 ;          0/15-;          0/09 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;47,4687499;-;PA;24;3,1989;3,1775;3,1775;15;            ;47,9835;47,6625;47,6625;                   ;                   ;                   ;               ;          0/15 ;          0/15 
1;1;371;MALZBIER BRAHMA LONG NECK 355ML SIX-PACK BAND;cx  ;        266/07 ;         89/11;        117/10;        238/08 ;          0/00 ;        238/08 ;          0/00 ;        238/08-;          0/12 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;22057,75;-;PA;24;4,096;4,0711;4,0711;5720;            ;23429,12;23286,692;23286,692;                   ;                   ;                   ;               ;        238/08 ;        238/08 
1;1;503;SUKITA PET 2L CAIXA C/6                      ;cx  ;        468/05 ;      1.712/01;      1.057/01;      1.123/05 ;          0/00 ;      1.123/05 ;          0/00 ;      1.123/05-;          2/01 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;26938,285;-;PA;6;3,8708;4,2852;4,2852;6743;            ;26100,8044;28895,1036;28895,1036;                   ;                   ;                   ;               ;      1.123/05 ;      1.123/05 
1;1;504;PEPSI COLA PET 2L CAIXA C/6                  ;cx  ;      1.255/01 ;      3.132/01;      3.008/05;      1.378/03 ;          0/00 ;      1.378/03 ;          0/00 ;      1.378/03-;          0/02-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;50949,36;-;PA;6;5,6507;4,9968;4,9968;8271;            ;46736,9397;41328,5328;41328,5328;                   ;                   ;                   ;               ;      1.378/03 ;      1.378/03 
1;1;772;PEPSI COLA MIX BAG IN BOX 18L                ;L   ;          0/00 ;        144/00;        144/00;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;0; ;PA;1;37,7454;37,7454;37,7454;            ;            ;                   ;                   ;                   ;                   ;                   ;                   ;               ;          0/00 ;          0/00 
1;1;827;CHOPP BRAHMA ESCURO BARRIL KEG 30L           ;L   ;        210/00 ;        360/00;        570/00;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;0; ;PA;1;32,9061;32,8962;32,9654;            ;            ;                   ;                   ;                   ;                   ;                   ;                   ;               ;          0/00 ;          0/00 
1;1;828;CHOPP BRAHMA CLARO BARRIL KEG 30L            ;L   ;        210/00 ;      1.920/00;      1.380/00;        750/00 ;          0/00 ;        750/00 ;          0/00 ;        750/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;9960;-;PA;1;11,6345;11,6345;11,6345;750;            ;8725,875;8725,875;8725,875;                   ;                   ;                   ;               ;        750/00 ;        750/00 
1;1;838;CHOPP BRAHMA CLARO BARRIL KEG 50L            ;L   ;      1.900/00 ;     11.200/00;     12.700/00;        400/00 ;          0/00 ;        400/00 ;          0/00 ;        400/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;1808;-;PA;1;11,6567;11,6507;11,6507;400;            ;4662,68;4660,28;4660,28;                   ;                   ;                   ;               ;        400/00 ;        400/00 
1;1;972;SKOL 300ML                                   ;Dz  ;      6.707/05 ;      5.710/01;     10.948/10;      1.468/08 ;          0/00 ;      1.468/08 ;          0/00 ;      1.468/08-;          5/05 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;29270,52666;-;PA;12;1,7616;1,7012;1,7103;17624;            ;31046,4384;29981,9488;30142,3272;                   ;                   ;                   ;               ;      1.468/08 ;      1.468/08 
